title,creation_date,score,link,tags,is_answered
SAP SoapFault without details,1753651155,0,https://stackoverflow.com/questions/79716704/sap-soapfault-without-details,"soap, wsdl, sap-basis",False
How to solve DeepL API-Error (Untrusted Peer)?,1749026866,0,https://stackoverflow.com/questions/79652417/how-to-solve-deepl-api-error-untrusted-peer,"sap-basis, deepl",False
SAP RFC_READ_TABLE Error: OPTION_NOT_VALID When Filtering USR02 (GLTGB &gt;= currentDate OR &#39;00000000&#39;),1741691529,0,https://stackoverflow.com/questions/79500527/sap-rfc-read-table-error-option-not-valid-when-filtering-usr02-gltgb-curren,"java, spring-mvc, sap-basis, sapjco3",False
SAP NetWeaver. Unable to get handle to iamodell.so: libnsl.so.1: cannot open shared object file: no such file or directory,1722279051,1,https://stackoverflow.com/questions/78808639/sap-netweaver-unable-to-get-handle-to-iamodell-so-libnsl-so-1-cannot-open-sha,"linux, opensuse, sap-basis, netweaver",True
How to configure the Original language of an SAP workflow?,1721987292,0,https://stackoverflow.com/questions/78797336/how-to-configure-the-original-language-of-an-sap-workflow,"workflow, abap, sap-basis",True
How to download attachment using SO_DOCUMENT_READ_API1?,1719305432,1,https://stackoverflow.com/questions/78666292/how-to-download-attachment-using-so-document-read-api1,"c#, ssis, abap, sap-basis",True
How to determine if a transport request has been deleted from buffer?,1715937650,1,https://stackoverflow.com/questions/78494696/how-to-determine-if-a-transport-request-has-been-deleted-from-buffer,"abap, sap-basis",True
How to use Encryption in SAP and Store in Database,1714143151,0,https://stackoverflow.com/questions/78391290/how-to-use-encryption-in-sap-and-store-in-database,"encryption, abap, sap-basis",True
How to create Transport Request for UI5 Application in BAS?,1711196443,1,https://stackoverflow.com/questions/78210828/how-to-create-transport-request-for-ui5-application-in-bas,"sap-fiori, sap-basis, sap-business-application-studio",False
Is there a way to search the application log (SLG1) for a particular message?,1711024644,1,https://stackoverflow.com/questions/78199985/is-there-a-way-to-search-the-application-log-slg1-for-a-particular-message,"abap, sap-basis",True
How to test SAP HTTP Content Server API &#39;docGet&#39; API from SAP GUI,1710149348,0,https://stackoverflow.com/questions/78139584/how-to-test-sap-http-content-server-api-docget-api-from-sap-gui,sap-basis,False
Mendix to sap bapi integration issue,1709632235,0,https://stackoverflow.com/questions/78106748/mendix-to-sap-bapi-integration-issue,"integration, sap-erp, sap-basis, bapi, mendix",False
How to directly run CMD command in ABAP?,1708399857,1,https://stackoverflow.com/questions/78024654/how-to-directly-run-cmd-command-in-abap,"cmd, command-line, abap, sap-basis",True
How to transfer multiple users $TMP objects into single package?,1707124165,1,https://stackoverflow.com/questions/77939715/how-to-transfer-multiple-users-tmp-objects-into-single-package,"abap, sap-basis",True
BAPI_CONVERSION_EXT2INT1 to convert external WBS element number to internal,1701424314,0,https://stackoverflow.com/questions/77584344/bapi-conversion-ext2int1-to-convert-external-wbs-element-number-to-internal,"sap-erp, sap-basis, bapi",True
How to get statistical records from all servers using SWNC_STATREC_READ_INSTANCE?,1698653356,1,https://stackoverflow.com/questions/77387066/how-to-get-statistical-records-from-all-servers-using-swnc-statrec-read-instance,"sap-basis, bapi, sapjco3",True
How to implement SAP SNC for ARM64?,1698058260,2,https://stackoverflow.com/questions/77344567/how-to-implement-sap-snc-for-arm64,"sap-basis, jco",True
How to get RZ11 profile parameters details remotely?,1698042096,1,https://stackoverflow.com/questions/77342998/how-to-get-rz11-profile-parameters-details-remotely,"sap-basis, sapjco3",True
Different TRs on the same object: who gets the priority?,1697125680,2,https://stackoverflow.com/questions/77282070/different-trs-on-the-same-object-who-gets-the-priority,"abap, sap-basis",True
