title,creation_date,score,link,tags,is_answered
WinShuttle plugin in Excel,1745936179,0,https://stackoverflow.com/questions/79598593/winshuttle-plugin-in-excel,"excel, sap-erp",False
How to set BLDAT on a different value than BUDAT with BAPI_PRODORDCONF_CREATE_TT?,1743008998,0,https://stackoverflow.com/questions/79536761/how-to-set-bldat-on-a-different-value-than-budat-with-bapi-prodordconf-create-tt,"abap, sap-erp",False
BAPI_CUSTOMERQUOTATION_CHANGE is inserting new items in different position,1740382917,1,https://stackoverflow.com/questions/79462748/bapi-customerquotation-change-is-inserting-new-items-in-different-position,"sap-erp, bapi",False
How to apply custom button and function code in FB60?,1732866644,0,https://stackoverflow.com/questions/79236231/how-to-apply-custom-button-and-function-code-in-fb60,"abap, sap-erp, badi",False
ABAP CDS View - ON and Where Clause Using Substring,1732587721,0,https://stackoverflow.com/questions/79225131/abap-cds-view-on-and-where-clause-using-substring,"abap, sap-erp, cds",False
Enhancement when a transfer order is cancelled in LT15,1728561034,0,https://stackoverflow.com/questions/79074268/enhancement-when-a-transfer-order-is-cancelled-in-lt15,"abap, sap-erp",False
How to link XFPLA and XVBAP in MV45AFZZ during sales order creation?,1727425966,0,https://stackoverflow.com/questions/79030523/how-to-link-xfpla-and-xvbap-in-mv45afzz-during-sales-order-creation,"abap, sap-erp, sap-data-dictionary",False
PNP Logical Database Selection Screen,1724969159,0,https://stackoverflow.com/questions/78929773/pnp-logical-database-selection-screen,"abap, sap-erp, dynpro, select-options",False
How to check the value of the global container in SAP workflow?,1724319987,0,https://stackoverflow.com/questions/78900871/how-to-check-the-value-of-the-global-container-in-sap-workflow,"workflow, abap, sap-erp",True
Issues using SAP Table Connector in ADF with SHIR,1723782542,0,https://stackoverflow.com/questions/78877613/issues-using-sap-table-connector-in-adf-with-shir,"azure-data-factory, gac, sap-erp, sap-dotnet-connector",True
How to add external email notification to SAP workflow WS20000077?,1723442672,0,https://stackoverflow.com/questions/78860170/how-to-add-external-email-notification-to-sap-workflow-ws20000077,"workflow, abap, sap-erp",True
Get the full Directory Path of Application Server using Value Help in Selection Screen,1723127371,0,https://stackoverflow.com/questions/78849003/get-the-full-directory-path-of-application-server-using-value-help-in-selection,"abap, sap-erp",False
How to synchronize data from SAP to an external database?,1723103760,0,https://stackoverflow.com/questions/78847161/how-to-synchronize-data-from-sap-to-an-external-database,"etl, abap, sap-erp",False
How to select Sales Tab in Transaction BP from ABAP,1721835894,0,https://stackoverflow.com/questions/78789350/how-to-select-sales-tab-in-transaction-bp-from-abap,"abap, sap-erp",True
SAP Split Valuation vs BWTAR field logic?,1718043703,0,https://stackoverflow.com/questions/78603951/sap-split-valuation-vs-bwtar-field-logic,"sap-erp, sap-data-dictionary",False
Groovy script to replaced nested loop attribute,1715701939,0,https://stackoverflow.com/questions/78479269/groovy-script-to-replaced-nested-loop-attribute,"groovy, sap-erp",True
SAP ABAP | S_ALR_87013611 Report Painter report to Internal Table,1715425164,0,https://stackoverflow.com/questions/78464319/sap-abap-s-alr-87013611-report-painter-report-to-internal-table,"abap, sap-erp, internal-tables",False
abap MM01 get class for material,1715241073,0,https://stackoverflow.com/questions/78453028/abap-mm01-get-class-for-material,"abap, sap-erp, bapi, function-module",False
BAPI_RE_RO_CHANGE enhancement for custom authorization,1713088854,1,https://stackoverflow.com/questions/78323381/bapi-re-ro-change-enhancement-for-custom-authorization,"authorization, abap, sap-erp, bapi",False
How to extract data from a field in a CAUFVD structure?,1710860217,0,https://stackoverflow.com/questions/78187613/how-to-extract-data-from-a-field-in-a-caufvd-structure,"abap, sap-erp, sap-data-dictionary",False
How to create a custom outbound IDoc and send data to the same sever and to different clients,1710155136,0,https://stackoverflow.com/questions/78140148/how-to-create-a-custom-outbound-idoc-and-send-data-to-the-same-sever-and-to-diff,"sap-erp, idoc",False
How to establish a connection with SAP ABAP workbench with SSIS,1709873651,0,https://stackoverflow.com/questions/78125602/how-to-establish-a-connection-with-sap-abap-workbench-with-ssis,"ssis, connection-string, abap, sap-erp",False
BAPI_ADDRESSORG_CHANGE does not work correctly,1709736956,0,https://stackoverflow.com/questions/78115369/bapi-addressorg-change-does-not-work-correctly,"abap, sap-erp",True
Mendix to sap bapi integration issue,1709632235,0,https://stackoverflow.com/questions/78106748/mendix-to-sap-bapi-integration-issue,"integration, sap-erp, sap-basis, bapi, mendix",False
