title,creation_date,score,link,tags,is_answered
SAP Script Recording - short code recording issue,1757357523,0,https://stackoverflow.com/questions/79759251/sap-script-recording-short-code-recording-issue,"excel, vba, sap-gui",True
Hiding the SAP GUI window while accessing it through python,1752840288,2,https://stackoverflow.com/questions/79706144/hiding-the-sap-gui-window-while-accessing-it-through-python,"python, sap-gui",False
Extract SAP cell value and copy to cell in excel,1750840243,1,https://stackoverflow.com/questions/79678704/extract-sap-cell-value-and-copy-to-cell-in-excel,"excel, vba, extract, sap-gui",False
Eclipse Crashes on Startup with JavaFX Module Path in eclipse.ini,1746110660,0,https://stackoverflow.com/questions/79602045/eclipse-crashes-on-startup-with-javafx-module-path-in-eclipse-ini,"eclipse, macos, abap, sap-gui, abap-adt",True
How to Vbs ignore error and run next excel row,1742647910,-1,https://stackoverflow.com/questions/79527468/how-to-vbs-ignore-error-and-run-next-excel-row,"vbscript, sap-gui",False
SAP GUI Scripting in Delphi,1741290199,3,https://stackoverflow.com/questions/79490509/sap-gui-scripting-in-delphi,"delphi, scripting, pascal, sap-gui, delphi-12-athens",False
How to detect colored cell in Table Control,1737085361,0,https://stackoverflow.com/questions/79363555/how-to-detect-colored-cell-in-table-control,"vba, scripting, sap-gui",True
How to Get Value from SAP Status Bar using SAP GUI scripting,1736410757,0,https://stackoverflow.com/questions/79341853/how-to-get-value-from-sap-status-bar-using-sap-gui-scripting,sap-gui,False
SAP GUI XT scripting,1736351626,0,https://stackoverflow.com/questions/79339882/sap-gui-xt-scripting,"scripting, sap-gui",False
SAP Configuration in GUI,1735134469,0,https://stackoverflow.com/questions/79307685/sap-configuration-in-gui,"scripting, uipath, sap-gui",True
How do I enter header text into the &#39;Goto -&gt; Header -&gt; Texts&#39; menu in VA01 using SAP GUI Scripting?,1733757625,0,https://stackoverflow.com/questions/79265520/how-do-i-enter-header-text-into-the-goto-header-texts-menu-in-va01-using,"excel, vba, sap-gui",True
How can I create a non-Single-Sign-On SAP GUI session?,1732185027,0,https://stackoverflow.com/questions/79210738/how-can-i-create-a-non-single-sign-on-sap-gui-session,"c#, sap-gui",False
Automation Error Runtime Error Invalid Syntax,1729416735,0,https://stackoverflow.com/questions/79106725/automation-error-runtime-error-invalid-syntax,"excel, vba, sap-gui",False
getCellValue don’t take all the rows,1728735974,0,https://stackoverflow.com/questions/79080994/getcellvalue-don-t-take-all-the-rows,"excel, vba, sap-gui",False
VBA - Loop through different nodes and open them,1727184613,-1,https://stackoverflow.com/questions/79018827/vba-loop-through-different-nodes-and-open-them,"excel, vba, sap-gui",True
SAP S4/HANA login via scripting - no longer showing &quot;SAP GUI Logon&quot; dialog,1726232273,0,https://stackoverflow.com/questions/78982240/sap-s4-hana-login-via-scripting-no-longer-showing-sap-gui-logon-dialog,"sap-gui, s4hana",True
How to change SAP Logon language using VBA code to update it directly in Registry Editor,1724949317,0,https://stackoverflow.com/questions/78928844/how-to-change-sap-logon-language-using-vba-code-to-update-it-directly-in-registr,"excel, vba, 64-bit, sap-gui, regedit",True
pywintypes.com_error when using getCellValue in SAP GUI Scripting with Python,1724086228,1,https://stackoverflow.com/questions/78889013/pywintypes-com-error-when-using-getcellvalue-in-sap-gui-scripting-with-python,"python, com, win32com, sap-gui",False
