title,creation_date,score,link,tags,is_answered
What are ABAP and SAP?,1258514075,79,https://stackoverflow.com/questions/1753412/what-are-abap-and-sap,"sap, abap",True
Importing SAP WSDL with VS17 - Custom tool warning: The following Policy Assertions were not imported/was not handled,1504097228,5,https://stackoverflow.com/questions/45960863/importing-sap-wsdl-with-vs17-custom-tool-warning-the-following-policy-asserti,"web-services, soap, wsdl, sap, policy",False
How to configure WCF client for this set of security requirements,1352463309,4,https://stackoverflow.com/questions/13307901/how-to-configure-wcf-client-for-this-set-of-security-requirements,"wcf, web-services, wcf-security, sap",True
Hibernate SAP integration,1404487590,3,https://stackoverflow.com/questions/24577399/hibernate-sap-integration,"spring, hibernate, sap, hibernate-mapping, spring-orm",True
REST API does not return answer back after more than 3600 seconds of processing,1662013540,3,https://stackoverflow.com/questions/73565050/rest-api-does-not-return-answer-back-after-more-than-3600-seconds-of-processing,"rest, http, iis, sap, windows-server",True
Error in collate SQL_Latin1_General_CP850_BIN2 with UTF-8 SQL Server,1527863689,3,https://stackoverflow.com/questions/50645799/error-in-collate-sql-latin1-general-cp850-bin2-with-utf-8-sql-server,"sql, sql-server, utf-8, sql-server-2012, sap",True
Getting SAML token from ADFS using windows credentials,1350384053,3,https://stackoverflow.com/questions/12912884/getting-saml-token-from-adfs-using-windows-credentials,"c#, windows-8, sap, saml",False
Selenium Webdriver - Unable to find element after page refresh/redirect,1427289331,2,https://stackoverflow.com/questions/29256751/selenium-webdriver-unable-to-find-element-after-page-refresh-redirect,"java, selenium, selenium-webdriver, sap, webui",True
Azure Databricks cell execution stuck on waiting to run state,1636619689,2,https://stackoverflow.com/questions/69925281/azure-databricks-cell-execution-stuck-on-waiting-to-run-state,"azure, databricks, sap",True
What are the best practices for internal security standards in companies with large SAP investments?,1236287937,2,https://stackoverflow.com/questions/616662/what-are-the-best-practices-for-internal-security-standards-in-companies-with-la,"security, architecture, active-directory, single-sign-on, sap",True
SAP and PeopleSoft using web service complex object,1306631488,2,https://stackoverflow.com/questions/6165351/sap-and-peoplesoft-using-web-service-complex-object,".net, web-services, sap, peoplesoft",True
