title,creation_date,score,link,tags,is_answered
SAP B1 Matrix fill with GridDB Data on Dispatcher,1742537022,0,https://stackoverflow.com/questions/79524648/sap-b1-matrix-fill-with-griddb-data-on-dispatcher,"sapb1, griddb, sap-business-one-di-api",False
SAP B1 add the form to the system,1735315669,0,https://stackoverflow.com/questions/79312266/sap-b1-add-the-form-to-the-system,"sapb1, sap-business-technology-platform",False
Navigation and routing in SAP BusinessOne UI API extension app web client,1731405655,1,https://stackoverflow.com/questions/79180608/navigation-and-routing-in-sap-businessone-ui-api-extension-app-web-client,sapb1,False
Is it possible for a User created custom view in SAP Business One web client?,1729615700,0,https://stackoverflow.com/questions/79115085/is-it-possible-for-a-user-created-custom-view-in-sap-business-one-web-client,"user-interface, webclient, sapb1",False
Save authorized draft in valid document (10.00 SQL),1726698911,1,https://stackoverflow.com/questions/79000353/save-authorized-draft-in-valid-document-10-00-sql,"sapb1, sap-business-one-di-api",False
Query - Same Tables Twice,1725633978,0,https://stackoverflow.com/questions/78957652/query-same-tables-twice,"sql, hana, sapb1",False
Error &#39;Table must be specified for selection&#39; in SQL Query in SAP Business One,1724516752,0,https://stackoverflow.com/questions/78909479/error-table-must-be-specified-for-selection-in-sql-query-in-sap-business-one,"subquery, sapb1",False
error in Add BP Campaign Using C# :Invalid activity type [OCLG.CntctType] [Message 3533-2],1723963126,0,https://stackoverflow.com/questions/78883881/error-in-add-bp-campaign-using-c-invalid-activity-type-oclg-cntcttype-messa,"c#, sapb1, sap-business-one-di-api",False
issues with [%0] in SAP B1 Hana Query,1722503572,0,https://stackoverflow.com/questions/78820091/issues-with-0-in-sap-b1-hana-query,"hana, sapb1",False
"No Errors in SAP B1 SDK UI API Code, but Data Not Posting to Database",1722414253,0,https://stackoverflow.com/questions/78815212/no-errors-in-sap-b1-sdk-ui-api-code-but-data-not-posting-to-database,sapb1,False
